Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
15/08/2025,Liverpool,Bournemouth,4,2,H,1.31,5.96,8.31,1.35,3.13
16/08/2025,Aston Villa,Newcastle,0,0,D,2.3,3.56,2.94,1.61,2.25
16/08/2025,Brighton,Fulham,1,1,D,1.92,3.62,3.91,1.71,2.08
16/08/2025,Sunderland,West Ham,3,0,H,3.17,3.38,2.26,1.88,1.88
16/08/2025,Tottenham,Burnley,3,0,H,1.37,4.8,8.3,1.66,2.16
16/08/2025,Wolves,Man City,0,4,A,6.73,4.73,1.44,1.61,2.25
17/08/2025,Chelsea,Crystal Palace,0,0,D,1.61,4.21,5.08,1.63,2.22
17/08/2025,Nott'm Forest,Brentford,3,1,H,2.15,3.36,3.43,1.92,1.83
17/08/2025,Man United,Arsenal,0,1,A,3.57,3.56,2.01,1.8,1.97
18/08/2025,Leeds,Everton,1,0,H,2.39,3.29,2.96,2.07,1.72
22/08/2025,West Ham,Chelsea,1,5,A,4.68,3.88,1.71,1.72,2.09
23/08/2025,Man City,Tottenham,0,2,A,1.48,4.7,6.08,1.46,2.62
23/08/2025,Bournemouth,Wolves,1,0,H,1.79,3.88,4.24,1.72,2.06
23/08/2025,Brentford,Aston Villa,1,0,H,3.11,3.53,2.21,1.77,2.0
23/08/2025,Burnley,Sunderland,2,0,H,2.25,3.16,3.42,2.26,1.6
23/08/2025,Arsenal,Leeds,5,0,H,1.27,5.93,10.61,1.55,2.38
24/08/2025,Crystal Palace,Nott'm Forest,1,1,D,2.35,3.26,3.07,2.05,1.73
24/08/2025,Everton,Brighton,2,0,H,3.08,3.3,2.32,2.01,1.76
24/08/2025,Fulham,Man United,1,1,D,3.27,3.53,2.13,1.77,1.99
25/08/2025,Newcastle,Liverpool,2,3,A,3.3,3.83,2.02,1.53,2.43
30/08/2025,Chelsea,Fulham,2,0,H,1.55,4.35,5.6,1.67,2.16
30/08/2025,Man United,Burnley,3,2,H,1.35,5.15,8.28,1.65,2.17
30/08/2025,Sunderland,Brentford,2,1,H,2.92,3.27,2.46,2.04,1.73
30/08/2025,Tottenham,Bournemouth,0,1,A,1.73,4.06,4.29,1.54,2.38
30/08/2025,Wolves,Everton,2,3,A,2.66,3.19,2.74,2.17,1.65
30/08/2025,Leeds,Newcastle,0,0,D,3.37,3.49,2.12,1.76,2.01
31/08/2025,Brighton,Man City,2,1,H,3.78,3.84,1.85,1.57,2.32
