Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
23/08/2025,Genoa,Lecce,0,0,D,1.91,3.28,4.29,2.36,1.55
23/08/2025,Sassuolo,Napoli,0,2,A,6.08,4.02,1.54,1.92,1.83
23/08/2025,Milan,Cremonese,1,2,A,1.34,5.09,8.57,1.61,2.25
23/08/2025,Roma,Bologna,1,0,H,2.1,3.28,3.56,2.11,1.69
24/08/2025,Cagliari,Fiorentina,1,1,D,3.17,3.27,2.25,2.03,1.74
24/08/2025,Como,Lazio,2,0,H,2.44,3.29,2.86,1.98,1.78
24/08/2025,Atalanta,Pisa,1,1,D,1.38,4.86,7.63,1.61,2.24
24/08/2025,Juventus,Parma,2,0,H,1.42,4.58,7.26,1.72,2.06
25/08/2025,Udinese,Verona,1,1,D,1.95,3.33,3.95,2.14,1.67
25/08/2025,Inter,Torino,5,0,H,1.41,4.67,7.28,1.68,2.12
29/08/2025,Cremonese,Sassuolo,3,2,H,2.55,3.2,2.82,2.04,1.74
29/08/2025,Lecce,Milan,0,2,A,6.03,3.94,1.57,1.96,1.81
30/08/2025,Bologna,Como,1,0,H,2.42,3.14,3.04,2.23,1.61
30/08/2025,Parma,Atalanta,1,1,D,3.82,3.49,1.96,1.86,1.89
30/08/2025,Napoli,Cagliari,1,0,H,1.3,5.23,10.34,1.78,1.98
30/08/2025,Pisa,Roma,0,1,A,4.96,3.69,1.7,1.97,1.79
31/08/2025,Genoa,Juventus,0,1,A,4.38,3.36,1.86,2.28,1.59
31/08/2025,Torino,Fiorentina,0,0,D,3.13,3.15,2.36,2.24,1.6
31/08/2025,Inter,Udinese,1,2,A,1.31,5.31,9.22,1.61,2.24
31/08/2025,Lazio,Verona,4,0,H,1.45,4.41,6.9,1.84,1.91
13/09/2025,Cagliari,Parma,2,0,H,2.17,3.21,3.49,2.21,1.63
13/09/2025,Juventus,Inter,4,3,H,2.72,3.03,2.77,2.2,1.63
13/09/2025,Fiorentina,Napoli,1,3,A,3.43,3.14,2.22,2.32,1.57
14/09/2025,Roma,Torino,0,1,A,1.51,4.08,6.65,1.99,1.77
14/09/2025,Atalanta,Lecce,4,1,H,1.4,4.56,7.85,1.75,2.02
14/09/2025,Pisa,Udinese,0,1,A,2.78,3.08,2.64,2.28,1.59
14/09/2025,Sassuolo,Lazio,1,0,H,3.49,3.49,2.04,1.84,1.92
14/09/2025,Milan,Bologna,1,0,H,1.89,3.48,4.04,1.91,1.84
15/09/2025,Verona,Cremonese,0,0,D,2.34,3.13,3.16,2.24,1.61
15/09/2025,Como,Genoa,1,1,D,1.64,3.68,5.5,2.08,1.71
19/09/2025,Lecce,Cagliari,1,2,A,2.8,2.9,2.78,2.55,1.49
20/09/2025,Bologna,Genoa,2,1,H,1.82,3.3,4.78,2.39,1.54
20/09/2025,Verona,Juventus,1,1,D,6.5,3.85,1.55,2.18,1.64
20/09/2025,Udinese,Milan,0,3,A,4.31,3.57,1.82,1.99,1.78
21/09/2025,Lazio,Roma,0,1,A,2.81,3.13,2.58,2.19,1.64
21/09/2025,Cremonese,Parma,0,0,D,2.52,3.13,2.87,2.24,1.61
21/09/2025,Torino,Atalanta,0,3,A,3.39,3.28,2.14,2.15,1.66
21/09/2025,Fiorentina,Como,1,2,A,2.59,3.2,2.73,2.09,1.7
21/09/2025,Inter,Sassuolo,2,1,H,1.27,5.65,10.36,1.54,2.36
22/09/2025,Napoli,Pisa,3,2,H,1.24,5.73,12.86,1.78,1.98
27/09/2025,Como,Cremonese,1,1,D,1.44,4.41,7.45,1.85,1.9
27/09/2025,Juventus,Atalanta,1,1,D,1.86,3.55,4.16,1.97,1.79
27/09/2025,Cagliari,Inter,0,2,A,5.85,4.16,1.54,1.76,2.01
28/09/2025,Sassuolo,Udinese,3,1,H,2.27,3.25,3.15,2.07,1.71
28/09/2025,Pisa,Fiorentina,0,0,D,3.31,3.2,2.24,2.25,1.61
28/09/2025,Roma,Verona,2,0,H,1.42,4.21,8.09,2.08,1.71
28/09/2025,Lecce,Bologna,2,2,D,3.94,3.07,2.06,2.52,1.49
28/09/2025,Milan,Napoli,2,1,H,2.36,3.19,3.08,2.12,1.68
29/09/2025,Parma,Torino,2,1,H,2.24,3.13,3.35,2.19,1.64
29/09/2025,Genoa,Lazio,0,3,A,2.97,3.06,2.5,2.29,1.58
03/10/2025,Verona,Sassuolo,0,1,A,2.45,3.12,2.99,2.22,1.62
04/10/2025,Lazio,Torino,3,3,D,1.71,3.56,5.11,2.06,1.72
04/10/2025,Parma,Lecce,0,1,A,1.83,3.54,4.33,2.14,1.67
04/10/2025,Inter,Cremonese,4,1,H,1.18,6.95,14.36,1.47,2.58
04/10/2025,Atalanta,Como,1,1,D,2.18,3.43,3.21,1.74,2.03
05/10/2025,Udinese,Cagliari,1,1,D,2.17,3.19,3.51,2.26,1.6
05/10/2025,Bologna,Pisa,4,0,H,1.6,3.77,5.86,2.18,1.64
05/10/2025,Fiorentina,Roma,1,2,A,2.94,3.26,2.39,2.02,1.74
05/10/2025,Napoli,Genoa,2,1,H,1.47,4.0,7.55,2.22,1.63
05/10/2025,Juventus,Milan,0,0,D,2.63,3.19,2.71,2.05,1.72
18/10/2025,Lecce,Sassuolo,0,0,D,2.91,3.14,2.51,2.18,1.64
18/10/2025,Pisa,Verona,0,0,D,2.52,3.08,2.94,2.33,1.56
18/10/2025,Torino,Napoli,1,0,H,4.98,3.41,1.77,2.14,1.67
18/10/2025,Roma,Inter,0,1,A,3.24,3.22,2.27,2.06,1.72
19/10/2025,Como,Juventus,2,0,H,2.92,3.24,2.43,2.07,1.71
19/10/2025,Cagliari,Bologna,0,2,A,3.54,3.22,2.13,2.24,1.61
