Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
15/08/2025,Rennes,Marseille,1,0,H,3.46,3.52,2.04,1.79,1.97
16/08/2025,Lens,Lyon,0,1,A,2.29,3.56,2.87,1.66,2.14
16/08/2025,Monaco,Le Havre,3,1,H,1.33,5.23,8.08,1.51,2.44
16/08/2025,Nice,Toulouse,0,1,A,2.08,3.34,3.47,1.98,1.78
17/08/2025,Brest,Lille,3,3,D,3.22,3.41,2.16,1.87,1.87
17/08/2025,Angers,Paris FC,1,0,H,2.62,3.12,2.74,2.16,1.65
17/08/2025,Auxerre,Lorient,1,0,H,2.32,3.35,2.96,1.9,1.85
17/08/2025,Metz,Strasbourg,0,1,A,3.03,3.38,2.26,1.86,1.89
17/08/2025,Nantes,Paris SG,0,1,A,7.97,5.43,1.32,1.44,2.66
22/08/2025,Paris SG,Angers,1,0,H,1.08,11.06,24.94,1.24,3.77
23/08/2025,Marseille,Paris FC,5,2,H,1.36,4.89,7.89,1.64,2.17
23/08/2025,Nice,Auxerre,3,1,H,1.62,4.09,4.93,1.72,2.05
23/08/2025,Lyon,Metz,3,0,H,1.39,4.93,6.98,1.5,2.46
24/08/2025,Lorient,Rennes,4,0,H,2.71,3.29,2.54,1.94,1.81
24/08/2025,Le Havre,Lens,1,2,A,3.69,3.61,1.93,1.82,1.93
24/08/2025,Strasbourg,Nantes,1,0,H,1.76,3.65,4.46,1.88,1.87
24/08/2025,Toulouse,Brest,2,0,H,2.07,3.46,3.41,1.89,1.85
24/08/2025,Lille,Monaco,1,0,H,2.94,3.53,2.25,1.67,2.12
29/08/2025,Lens,Brest,3,1,H,1.84,3.68,4.05,1.8,1.96
30/08/2025,Lorient,Lille,1,7,A,3.3,3.48,2.11,1.85,1.89
30/08/2025,Nantes,Auxerre,1,0,H,2.26,3.2,3.24,2.14,1.66
30/08/2025,Toulouse,Paris SG,3,6,A,8.17,5.12,1.34,1.56,2.34
31/08/2025,Angers,Rennes,1,1,D,3.34,3.37,2.11,2.0,1.76
31/08/2025,Le Havre,Nice,3,1,H,3.44,3.51,2.05,1.85,1.9
31/08/2025,Monaco,Strasbourg,3,2,H,1.53,4.34,5.5,1.61,2.23
31/08/2025,Paris FC,Metz,3,2,H,1.82,3.6,4.23,1.92,1.83
31/08/2025,Lyon,Marseille,1,0,H,2.65,3.68,2.4,1.53,2.4
12/09/2025,Marseille,Lorient,4,0,H,1.36,5.22,7.55,1.47,2.61
13/09/2025,Nice,Nantes,1,0,H,1.66,3.84,4.95,1.86,1.9
13/09/2025,Auxerre,Monaco,1,2,A,4.92,4.3,1.59,1.52,2.44
14/09/2025,Lille,Toulouse,2,1,H,1.76,3.81,4.25,1.78,1.98
14/09/2025,Brest,Paris FC,1,2,A,2.21,3.51,3.06,1.74,2.04
14/09/2025,Metz,Angers,1,1,D,2.27,3.31,3.1,2.03,1.74
14/09/2025,Paris SG,Lens,2,0,H,1.31,5.75,8.06,1.35,3.06
14/09/2025,Strasbourg,Le Havre,1,0,H,1.6,4.07,5.22,1.76,2.0
14/09/2025,Rennes,Lyon,3,1,H,2.66,3.48,2.49,1.75,2.02
19/09/2025,Lyon,Angers,1,0,H,1.43,4.56,7.02,1.73,2.04
20/09/2025,Nantes,Rennes,2,2,D,3.39,3.35,2.11,1.98,1.78
20/09/2025,Brest,Nice,4,1,H,2.63,3.51,2.5,1.69,2.08
20/09/2025,Lens,Lille,3,0,H,2.4,3.43,2.8,1.78,1.97
21/09/2025,Paris FC,Strasbourg,2,3,A,2.37,3.46,2.82,1.76,1.99
21/09/2025,Auxerre,Toulouse,1,0,H,2.63,3.26,2.63,1.98,1.77
21/09/2025,Le Havre,Lorient,1,1,D,2.26,3.38,3.05,1.91,1.84
21/09/2025,Monaco,Metz,5,2,H,1.26,6.09,9.73,1.37,2.96
22/09/2025,Marseille,Paris SG,1,0,H,3.55,3.89,1.89,1.51,2.46
26/09/2025,Strasbourg,Marseille,1,2,A,3.51,3.6,2.0,1.73,2.05
27/09/2025,Lorient,Monaco,3,1,H,4.93,4.25,1.6,1.51,2.45
27/09/2025,Toulouse,Nantes,2,2,D,1.69,3.6,5.11,2.05,1.72
27/09/2025,Paris SG,Auxerre,2,0,H,1.15,7.95,15.21,1.29,3.4
