Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
15/08/2025,Girona,Vallecano,1,3,A,2.24,3.26,3.26,2.14,1.68
15/08/2025,Villarreal,Oviedo,2,0,H,1.38,4.74,8.11,1.84,1.92
16/08/2025,Mallorca,Barcelona,0,3,A,6.75,4.74,1.43,1.6,2.25
16/08/2025,Alaves,Levante,2,1,H,2.19,3.04,3.64,2.58,1.47
16/08/2025,Valencia,Sociedad,1,1,D,2.55,2.89,3.07,2.76,1.41
17/08/2025,Celta,Getafe,0,2,A,1.71,3.48,5.25,2.36,1.54
17/08/2025,Ath Bilbao,Sevilla,3,2,H,1.55,3.91,6.17,2.07,1.71
17/08/2025,Espanol,Ath Madrid,2,1,H,6.25,3.86,1.55,2.14,1.66
18/08/2025,Elche,Betis,1,1,D,3.33,3.27,2.17,2.08,1.7
19/08/2025,Real Madrid,Osasuna,1,0,H,1.2,6.66,13.16,1.49,2.56
22/08/2025,Betis,Alaves,1,0,H,1.88,3.38,4.37,2.23,1.62
23/08/2025,Mallorca,Celta,1,1,D,2.94,3.09,2.52,2.34,1.55
23/08/2025,Ath Madrid,Elche,1,1,D,1.24,5.74,12.91,1.76,2.0
23/08/2025,Levante,Barcelona,2,3,A,10.44,6.51,1.24,1.35,3.02
24/08/2025,Osasuna,Valencia,1,0,H,2.36,3.11,3.13,2.34,1.55
24/08/2025,Sociedad,Espanol,2,2,D,1.81,3.39,4.6,2.26,1.59
24/08/2025,Villarreal,Girona,5,0,H,1.52,4.28,5.69,1.64,2.17
24/08/2025,Oviedo,Real Madrid,0,3,A,9.67,5.24,1.3,1.7,2.09
25/08/2025,Ath Bilbao,Vallecano,1,0,H,1.69,3.55,5.18,2.18,1.64
25/08/2025,Sevilla,Getafe,1,2,A,2.25,2.99,3.46,2.55,1.48
27/08/2025,Celta,Betis,1,1,D,2.19,3.48,3.17,1.85,1.9
29/08/2025,Elche,Levante,2,0,H,2.17,3.19,3.52,2.24,1.61
29/08/2025,Valencia,Getafe,3,0,H,2.25,2.94,3.63,2.83,1.4
30/08/2025,Alaves,Ath Madrid,1,1,D,4.64,3.55,1.78,2.12,1.67
30/08/2025,Oviedo,Sociedad,1,0,H,3.47,3.1,2.23,2.44,1.52
30/08/2025,Girona,Sevilla,0,2,A,2.42,3.29,2.94,2.02,1.74
30/08/2025,Real Madrid,Mallorca,2,1,H,1.18,6.96,14.97,1.53,2.39
31/08/2025,Celta,Villarreal,1,1,D,2.71,3.53,2.43,1.67,2.12
31/08/2025,Betis,Ath Bilbao,1,2,A,2.95,3.15,2.46,2.17,1.64
31/08/2025,Espanol,Osasuna,1,0,H,2.34,3.15,3.09,2.22,1.61
31/08/2025,Vallecano,Barcelona,1,1,D,6.74,5.11,1.39,1.41,2.74
12/09/2025,Sevilla,Elche,2,2,D,1.85,3.4,4.47,2.18,1.66
13/09/2025,Getafe,Oviedo,2,0,H,1.96,3.06,4.45,2.71,1.42
13/09/2025,Sociedad,Real Madrid,1,2,A,5.25,4.17,1.59,1.73,2.04
13/09/2025,Ath Bilbao,Alaves,0,1,A,1.57,3.83,6.25,2.21,1.62
13/09/2025,Ath Madrid,Villarreal,2,0,H,1.81,3.7,4.28,1.7,2.09
14/09/2025,Celta,Girona,1,1,D,1.69,3.97,4.61,1.71,2.07
14/09/2025,Levante,Betis,2,2,D,3.18,3.26,2.25,1.99,1.77
14/09/2025,Osasuna,Vallecano,2,0,H,2.48,3.15,2.91,2.22,1.62
