Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2023-08-18 00:00:00,Werder Bremen,Bayern Munich,0,4,A,8.5,6.09,1.32,1.33,3.34,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-19 00:00:00,Dortmund,FC Koln,1,0,H,1.4,5.21,7.24,1.43,2.83,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-19 00:00:00,Wolfsburg,Heidenheim,2,0,H,1.62,4.31,5.19,1.61,2.34,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-19 00:00:00,Augsburg,M'gladbach,4,4,D,2.72,3.69,2.47,1.61,2.34,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-19 00:00:00,Leverkusen,RB Leipzig,3,2,H,2.47,3.62,2.78,1.68,2.2,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-19 00:00:00,Hoffenheim,Freiburg,1,2,A,2.35,3.63,2.94,1.66,2.24,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-19 00:00:00,Stuttgart,Bochum,5,0,H,1.69,4.17,4.69,1.64,2.29,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-20 00:00:00,Union Berlin,Mainz,4,1,H,2.01,3.45,3.92,2.1,1.75,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-20 00:00:00,Ein Frankfurt,Darmstadt,1,0,H,1.39,5.12,7.82,1.67,2.23,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-25 00:00:00,RB Leipzig,Stuttgart,5,1,H,1.51,4.71,6.09,1.54,2.49,1485.0,1515.0,-30.0,2.0,3.0,0,0,1,5.0,0.0,1,0,0,0,0,0,0.0,0.0
2023-08-26 00:00:00,Heidenheim,Hoffenheim,2,3,A,2.98,3.73,2.3,1.67,2.25,1485.0,1485.0,0.0,0.0,2.0,0,0,1,1.0,2.0,0,0,1,0,0,0,0.0,0.0
2023-08-26 00:00:00,M'gladbach,Leverkusen,0,3,A,3.68,4.1,1.91,1.49,2.63,1500.0,1515.0,-15.0,4.0,4.0,0,1,0,3.0,2.0,1,0,0,0,0,0,0.0,0.0
2023-08-26 00:00:00,Darmstadt,Union Berlin,1,4,A,3.88,3.44,2.03,2.08,1.77,1485.0,1515.0,-30.0,0.0,1.0,0,0,1,4.0,1.0,1,0,0,0,0,0,0.0,0.0
2023-08-26 00:00:00,Bochum,Dortmund,1,1,D,6.72,5.29,1.42,1.36,3.17,1485.0,1515.0,-30.0,0.0,5.0,0,0,1,1.0,0.0,1,0,0,0,0,0,0.0,0.0
2023-08-26 00:00:00,FC Koln,Wolfsburg,1,2,A,2.36,3.56,2.98,1.75,2.09,1485.0,1515.0,-30.0,0.0,1.0,0,0,1,2.0,0.0,1,0,0,0,0,0,0.0,0.0
2023-08-26 00:00:00,Freiburg,Werder Bremen,1,0,H,1.71,4.06,4.75,1.68,2.22,1515.0,1485.0,30.0,2.0,1.0,1,0,0,0.0,4.0,0,0,1,0,0,0,0.0,0.0
2023-08-27 00:00:00,Mainz,Ein Frankfurt,1,1,D,2.43,3.63,2.83,1.71,2.17,1485.0,1515.0,-30.0,1.0,4.0,0,0,1,1.0,0.0,1,0,0,0,0,0,0.0,0.0
