HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
Liverpool,Norwich,4,1,H,1.14,8.75,19.83,1.41,2.92
West Ham,Man City,0,5,A,11.84,6.28,1.25,1.48,2.65
Bournemouth,Sheffield United,1,1,D,2.01,3.53,3.83,1.9,1.93
Burnley,Southampton,3,0,H,2.68,3.22,2.78,2.12,1.73
Crystal Palace,Everton,0,0,D,3.13,3.27,2.4,2.18,1.7
Watford,Brighton,0,3,A,1.94,3.41,4.26,2.16,1.71
Tottenham,Aston Villa,3,1,H,1.3,5.53,10.51,1.65,2.26
Leicester,Wolves,0,0,D,2.22,3.28,3.48,2.17,1.7
Newcastle,Arsenal,0,1,A,4.49,3.82,1.79,1.77,2.07
Man United,Chelsea,4,0,H,2.19,3.32,3.49,2.01,1.83
Arsenal,Burnley,2,1,H,1.33,5.49,9.48,1.6,2.34
Aston Villa,Bournemouth,1,2,A,2.33,3.49,3.08,1.81,2.03
Brighton,West Ham,1,1,D,2.52,3.33,2.9,1.95,1.87
Everton,Watford,1,0,H,1.73,3.9,4.86,1.79,2.05
Norwich,Newcastle,3,1,H,2.23,3.38,3.38,1.95,1.88
Southampton,Liverpool,1,2,A,6.77,4.67,1.47,1.64,2.28
Man City,Tottenham,2,2,D,1.36,5.32,8.46,1.52,2.55
Sheffield United,Crystal Palace,1,0,H,2.57,3.19,2.95,2.37,1.6
Chelsea,Leicester,1,1,D,1.73,3.77,5.07,1.96,1.86
Wolves,Man United,1,1,D,3.32,3.28,2.3,2.12,1.74
Aston Villa,Everton,2,0,H,3.16,3.5,2.27,1.79,2.05
Norwich,Chelsea,2,3,A,4.18,3.92,1.83,1.56,2.44
Brighton,Southampton,0,2,A,2.43,3.25,3.08,2.1,1.75
Man United,Crystal Palace,1,2,A,1.36,5.06,9.16,1.76,2.09
Sheffield United,Leicester,1,2,A,3.45,3.23,2.26,2.3,1.63
Watford,West Ham,1,3,A,2.13,3.53,3.47,1.73,2.13
Liverpool,Arsenal,3,1,H,1.5,4.76,6.09,1.44,2.79
Bournemouth,Man City,1,3,A,14.52,7.28,1.19,1.37,3.08
Tottenham,Newcastle,0,1,A,1.24,6.26,12.35,1.55,2.47
Wolves,Burnley,1,1,D,1.85,3.43,4.78,2.29,1.63
Southampton,Man United,1,1,D,3.75,3.38,2.1,1.9,1.94
Chelsea,Sheffield United,2,2,D,1.36,4.98,9.53,1.73,2.13
Crystal Palace,Aston Villa,1,0,H,2.21,3.38,3.43,1.97,1.86
Leicester,Bournemouth,3,1,H,1.72,4.02,4.81,1.65,2.26
Man City,Brighton,4,0,H,1.09,11.73,30.92,1.3,3.53
Newcastle,Watford,1,1,D,2.63,3.24,2.86,2.08,1.77
West Ham,Norwich,2,0,H,1.89,3.91,3.92,1.48,2.64
Burnley,Liverpool,0,3,A,9.45,5.43,1.33,1.61,2.33
Everton,Wolves,3,2,H,2.17,3.29,3.65,2.25,1.66
Arsenal,Tottenham,2,2,D,2.38,3.63,2.9,1.57,2.4
Liverpool,Newcastle,3,1,H,1.15,8.27,19.45,1.42,2.89
Brighton,Burnley,1,1,D,2.15,3.34,3.62,2.09,1.76
Man United,Leicester,1,0,H,1.94,3.55,4.12,1.85,1.98
Sheffield United,Southampton,0,1,A,2.46,3.26,3.06,2.18,1.7
Tottenham,Crystal Palace,4,0,H,1.39,5.0,8.24,1.64,2.28
Wolves,Chelsea,2,5,A,2.97,3.36,2.46,1.97,1.86
Norwich,Man City,3,2,H,17.04,9.03,1.15,1.23,4.15
Bournemouth,Everton,3,1,H,3.01,3.48,2.37,1.75,2.1
Watford,Arsenal,2,2,D,3.64,3.74,2.01,1.57,2.41
Aston Villa,West Ham,0,0,D,2.64,3.56,2.63,1.62,2.31
Southampton,Bournemouth,1,3,A,2.1,3.62,3.5,1.69,2.21
Leicester,Tottenham,2,1,H,2.87,3.5,2.45,1.79,2.04
Burnley,Norwich,2,0,H,1.99,3.76,3.67,1.67,2.22
Everton,Sheffield United,0,2,A,1.67,3.8,5.58,2.03,1.81
Man City,Watford,8,0,H,1.11,10.24,23.21,1.25,3.91
Newcastle,Brighton,0,0,D,2.5,3.16,3.07,2.35,1.61
