Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2023-08-11,Burnley,Man City,0,3,A,9.02,5.35,1.35,1.65,2.27,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-12,Sheffield United,Crystal Palace,0,1,A,3.12,3.24,2.41,2.21,1.68,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-12,Arsenal,Nott'm Forest,2,1,H,1.18,7.64,15.67,1.42,2.85,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-12,Bournemouth,West Ham,1,1,D,2.69,3.44,2.64,1.88,1.94,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-12,Brighton,Luton,4,1,H,1.33,5.52,9.61,1.61,2.34,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-12,Everton,Fulham,0,1,A,2.24,3.43,3.3,1.97,1.86,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-12,Newcastle,Aston Villa,5,1,H,1.76,3.88,4.61,1.76,2.09,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-13,Brentford,Tottenham,2,2,D,2.73,3.63,2.5,1.7,2.18,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-13,Chelsea,Liverpool,1,1,D,2.87,3.64,2.39,1.67,2.24,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-14,Man United,Wolves,1,0,H,1.31,5.65,9.85,1.6,2.38,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-18,Nott'm Forest,Sheffield United,2,1,H,1.95,3.43,4.25,2.24,1.67,1485.0,1485.0,0.0,1.0,2.0,0,0,1,0.0,1.0,0,0,1,0,0,0,0.0,0.0
2023-08-19,Man City,Newcastle,1,0,H,1.7,4.07,4.83,1.72,2.15,1515.0,1515.0,0.0,3.0,0.0,1,0,0,5.0,1.0,1,0,0,0,0,0,0.0,0.0
2023-08-19,Fulham,Brentford,0,3,A,2.72,3.4,2.63,1.93,1.9,1515.0,1500.0,15.0,1.0,0.0,1,0,0,2.0,2.0,0,1,0,0,0,0,0.0,0.0
2023-08-19,Liverpool,Bournemouth,3,1,H,1.23,6.86,11.82,1.35,3.21,1500.0,1500.0,0.0,1.0,1.0,0,1,0,1.0,1.0,0,1,0,0,0,0,0.0,0.0
2023-08-19,Wolves,Brighton,1,4,A,4.0,3.81,1.89,1.74,2.12,1485.0,1515.0,-30.0,0.0,1.0,0,0,1,4.0,1.0,1,0,0,0,0,0,0.0,0.0
2023-08-19,Tottenham,Man United,2,0,H,2.84,3.75,2.37,1.57,2.44,1500.0,1515.0,-15.0,2.0,2.0,0,1,0,1.0,0.0,1,0,0,0,0,0,0.0,0.0
2023-08-20,West Ham,Chelsea,3,1,H,3.66,3.57,2.04,1.92,1.91,1500.0,1500.0,0.0,1.0,1.0,0,1,0,1.0,1.0,0,1,0,0,0,0,0.0,0.0
2023-08-20,Aston Villa,Everton,4,0,H,1.7,3.91,5.0,1.89,1.94,1485.0,1485.0,0.0,1.0,5.0,0,0,1,0.0,1.0,0,0,1,0,0,0,0.0,0.0
2023-08-21,Crystal Palace,Arsenal,0,1,A,5.79,4.06,1.6,1.92,1.9,1515.0,1515.0,0.0,1.0,0.0,1,0,0,2.0,1.0,1,0,0,0,0,0,0.0,0.0
2023-08-25,Chelsea,Luton,3,0,H,1.29,5.86,10.78,1.66,2.27,1485.0,1485.0,0.0,1.0,2.0,0,1,1,1.0,4.0,0,0,1,0,0,0,0.0,0.0
2023-08-26,Brighton,West Ham,1,3,A,1.53,4.67,5.73,1.49,2.63,1528.71,1515.0,13.71,4.0,1.0,2,0,0,2.0,1.0,1,1,0,0,0,0,0.0,0.0
2023-08-26,Arsenal,Fulham,2,2,D,1.23,6.49,13.35,1.48,2.67,1530.0,1499.35,30.65,1.5,0.5,2,0,0,0.5,1.5,1,0,1,0,0,0,0.0,0.0
2023-08-26,Brentford,Crystal Palace,1,1,D,2.14,3.41,3.57,2.13,1.74,1515.65,1500.0,15.65,2.5,1.0,1,1,0,0.5,0.5,1,0,1,0,0,0,0.0,0.0
2023-08-26,Everton,Wolves,0,1,A,2.32,3.31,3.24,2.12,1.74,1470.0,1471.29,-1.29,0.0,2.5,0,0,2,0.5,2.5,0,0,2,0,0,0,0.0,0.0
2023-08-26,Man United,Nott'm Forest,3,2,H,1.31,5.79,9.23,1.52,2.56,1499.35,1500.0,-0.65,0.5,1.0,1,0,1,1.5,1.5,1,0,1,0,0,0,0.0,0.0
2023-08-26,Bournemouth,Tottenham,0,2,A,3.67,3.94,1.95,1.55,2.47,1485.0,1515.65,-30.65,1.0,2.0,0,1,1,2.0,1.0,1,1,0,0,0,0,0.0,0.0
2023-08-27,Sheffield United,Man City,1,2,A,16.67,7.51,1.18,1.57,2.41,1470.0,1530.0,-60.0,0.5,1.5,0,0,2,2.0,0.0,2,0,0,0,0,0,0.0,0.0
2023-08-27,Newcastle,Liverpool,1,2,A,2.2,3.9,3.03,1.49,2.64,1500.0,1515.0,-15.0,2.5,1.0,1,0,1,2.0,1.0,1,1,0,0,0,0,0.0,0.0
2023-08-27,Burnley,Aston Villa,1,3,A,3.36,3.55,2.16,1.85,1.99,1485.0,1500.0,-15.0,0.0,3.0,0,0,1,2.5,2.5,1,0,1,0,0,0,0.0,0.0
2023-09-01,Luton,West Ham,1,2,A,4.7,3.94,1.74,1.82,2.03,1470.0,1530.59,-60.59,0.5,3.5,0,0,2,2.33,1.0,2,1,0,0,0,0,0.0,0.0
2023-09-02,Brighton,Newcastle,3,1,H,2.55,3.87,2.55,1.49,2.65,1513.12,1485.65,27.47,3.0,1.67,2,0,1,2.0,1.33,1,0,2,0,0,0,0.0,0.0
2023-09-02,Sheffield United,Everton,2,2,D,3.01,3.23,2.5,2.26,1.66,1457.56,1455.06,2.51,0.67,1.67,0,0,3,0.0,2.0,0,0,3,0,0,0,0.0,0.0
2023-09-02,Chelsea,Nott'm Forest,0,1,A,1.38,5.03,8.27,1.64,2.3,1500.0,1484.97,15.03,1.67,1.33,1,1,1,1.67,2.0,1,0,2,0,0,0,0.0,0.0
2023-09-02,Man City,Fulham,5,1,H,1.15,8.46,17.91,1.4,2.95,1542.44,1500.67,41.76,2.0,0.33,3,0,0,1.0,1.67,1,1,1,0,0,0,0.0,0.0
2023-09-02,Brentford,Bournemouth,2,2,D,1.72,4.06,4.67,1.74,2.12,1514.97,1471.32,43.65,2.0,1.0,1,2,0,0.67,2.0,0,1,2,0,0,0,0.0,0.0
2023-09-02,Burnley,Tottenham,2,5,A,3.83,3.99,1.88,1.64,2.31,1470.65,1529.33,-58.68,0.5,3.0,0,0,2,2.0,0.67,2,1,0,0,0,0,0.0,0.0
2023-09-03,Crystal Palace,Wolves,3,2,H,1.95,3.45,4.15,2.23,1.68,1500.68,1486.24,14.44,0.67,0.67,1,1,1,0.67,1.67,1,0,2,0,0,0,0.0,0.0
2023-09-03,Liverpool,Aston Villa,3,0,H,1.66,4.49,4.57,1.41,2.94,1529.35,1514.35,15.0,2.0,1.0,2,1,0,2.67,2.0,2,0,1,0,0,0,0.0,0.0
2023-09-03,Arsenal,Man United,3,1,H,1.77,4.04,4.38,1.55,2.47,1528.68,1514.38,14.3,1.67,1.0,2,1,0,1.33,1.33,2,0,1,0,0,0,0.0,0.0
2023-09-16,Newcastle,Brentford,1,0,H,1.53,4.37,6.12,1.67,2.24,1471.83,1513.1,-41.27,1.75,1.75,1,0,3,2.0,1.25,1,3,0,0,0,0,0.0,0.0
2023-09-16,Tottenham,Sheffield United,2,1,H,1.28,6.1,10.52,1.48,2.66,1541.82,1457.46,84.36,2.75,1.0,3,1,0,1.0,1.75,0,1,3,0,0,0,0.0,0.0
2023-09-16,West Ham,Man City,1,3,A,6.57,4.67,1.48,1.62,2.34,1543.0,1555.64,-12.64,2.25,1.0,3,1,0,2.75,0.5,4,0,0,0,0,0,0.0,0.0
2023-09-16,Fulham,Luton,1,0,H,1.68,3.96,5.18,1.88,1.96,1487.47,1457.59,29.88,1.0,2.5,1,1,2,0.67,3.0,0,0,3,0,0,0,0.0,0.0
2023-09-16,Aston Villa,Crystal Palace,3,1,H,1.9,3.7,4.07,1.87,1.97,1500.0,1515.05,-15.05,2.0,2.25,2,0,2,1.25,1.0,2,1,1,0,0,0,0.0,0.0
2023-09-16,Wolves,Liverpool,1,3,A,6.64,4.95,1.45,1.48,2.66,1471.86,1543.71,-71.85,1.0,2.0,1,0,3,2.25,0.75,3,1,0,0,0,0,0.0,0.0
2023-09-16,Man United,Brighton,1,3,A,2.21,3.98,2.96,1.42,2.87,1500.0,1526.93,-26.94,1.25,1.75,2,0,2,3.0,1.5,3,0,1,0,0,0,0.0,0.0
2023-09-17,Bournemouth,Chelsea,0,0,D,4.34,3.96,1.79,1.64,2.3,1473.19,1484.35,-11.16,1.0,2.0,0,2,2,1.25,1.25,1,1,2,0,0,0,0.0,0.0
2023-09-17,Everton,Arsenal,0,1,A,6.07,4.55,1.52,1.65,2.27,1455.16,1543.06,-87.9,0.5,2.0,0,1,3,2.0,1.0,3,1,0,0,0,0,0.0,0.0
2023-09-18,Nott'm Forest,Burnley,1,1,D,2.24,3.51,3.22,1.91,1.92,1500.62,1458.16,42.46,1.5,1.5,2,0,2,1.0,3.67,0,0,3,0,0,0,0.0,0.0
2023-09-23,Crystal Palace,Fulham,0,0,D,1.95,3.51,4.09,2.05,1.8,1499.4,1501.18,-1.78,1.2,1.4,2,1,2,1.0,2.0,2,1,2,0,0,0,0.0,0.0
2023-09-23,Luton,Wolves,1,1,D,3.3,3.43,2.23,1.99,1.85,1443.88,1459.92,-16.04,0.5,2.5,0,0,4,1.0,2.2,1,0,4,0,0,0,0.0,0.0
2023-09-23,Man City,Nott'm Forest,2,0,H,1.15,8.55,18.11,1.41,2.94,1570.1,1498.8,71.3,2.8,0.6,5,0,0,1.4,1.4,2,1,2,0,0,0,0.0,0.0
2023-09-23,Brentford,Everton,1,3,A,1.8,3.78,4.49,1.92,1.92,1496.32,1443.88,52.44,1.6,1.2,1,3,1,0.4,1.8,0,1,4,0,0,0,0.0,0.0
2023-09-23,Burnley,Man United,0,1,A,4.31,4.16,1.75,1.61,2.36,1459.98,1486.16,-26.18,1.0,3.0,0,1,3,1.2,2.0,2,0,3,0,0,0,0.0,0.0
2023-09-24,Brighton,Bournemouth,3,1,H,1.38,5.31,7.58,1.37,3.11,1540.77,1473.68,67.1,3.0,1.4,4,0,1,0.8,1.6,0,3,2,0,0,0,0.0,0.0
2023-09-24,Chelsea,Aston Villa,0,1,A,1.91,3.85,3.87,1.7,2.2,1483.87,1515.65,-31.78,1.0,1.0,1,2,2,2.2,2.0,3,0,2,0,0,0,0.0,0.0
