Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
2023-08-19,Empoli,Verona,0,1,A,2.3,3.28,3.27,2.11,1.74,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-19,Inter,Monza,2,0,H,1.38,5.08,7.92,1.58,2.41,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-19,Frosinone,Napoli,1,3,A,8.79,5.12,1.36,1.68,2.2,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-19,Genoa,Fiorentina,1,4,A,3.41,3.34,2.21,2.06,1.77,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-20,Roma,Salernitana,2,2,D,1.53,4.07,6.83,2.1,1.75,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-20,Sassuolo,Atalanta,0,2,A,3.35,3.62,2.12,1.62,2.33,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-20,Lecce,Lazio,2,1,H,3.74,3.33,2.09,2.21,1.68,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-20,Udinese,Juventus,0,3,A,4.46,3.54,1.86,2.1,1.75,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-21,Torino,Cagliari,0,0,D,1.68,3.73,5.47,2.16,1.7,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-21,Bologna,Milan,0,2,A,3.9,3.49,1.99,2.05,1.78,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
2023-08-26,Milan,Torino,4,1,H,1.66,3.8,5.63,2.19,1.7,1515.0,1500.0,15.0,2.0,0.0,1,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0.0
2023-08-26,Verona,Roma,2,1,H,4.61,3.47,1.86,2.29,1.65,1515.0,1500.0,15.0,1.0,0.0,1,0,0,2.0,2.0,0,1,0,0,0,0,0.0,0.0
2023-08-26,Frosinone,Atalanta,2,1,H,4.92,4.09,1.68,1.7,2.19,1485.0,1515.0,-30.0,1.0,3.0,0,0,1,2.0,0.0,1,0,0,0,0,0,0.0,0.0
2023-08-26,Monza,Empoli,2,0,H,1.95,3.54,4.05,2.03,1.81,1485.0,1485.0,0.0,0.0,2.0,0,0,1,0.0,1.0,0,0,1,0,0,0,0.0,0.0
2023-08-27,Juventus,Bologna,1,1,D,1.49,4.39,6.86,1.91,1.92,1515.0,1485.0,30.0,3.0,0.0,1,0,0,0.0,2.0,0,0,1,0,0,0,0.0,0.0
2023-08-27,Lazio,Genoa,0,1,A,1.58,4.09,5.98,2.04,1.8,1485.0,1485.0,0.0,1.0,2.0,0,0,1,1.0,4.0,0,0,1,0,0,0,0.0,0.0
2023-08-27,Napoli,Sassuolo,2,0,H,1.33,5.67,8.6,1.45,2.78,1515.0,1485.0,30.0,3.0,1.0,1,0,0,0.0,2.0,0,0,1,0,0,0,0.0,0.0
2023-08-27,Fiorentina,Lecce,2,2,D,1.6,3.96,5.9,2.07,1.77,1515.0,1515.0,0.0,4.0,1.0,1,0,0,2.0,1.0,1,0,0,0,0,0,0.0,0.0
2023-08-28,Salernitana,Udinese,1,1,D,2.75,3.32,2.62,2.01,1.82,1500.0,1485.0,15.0,2.0,2.0,0,1,0,0.0,3.0,0,0,1,0,0,0,0.0,0.0
2023-08-28,Cagliari,Inter,0,2,A,6.85,4.73,1.45,1.73,2.13,1500.0,1515.0,-15.0,0.0,0.0,0,1,0,2.0,0.0,1,0,0,0,0,0,0.0,0.0
2023-09-01,Sassuolo,Verona,3,1,H,2.02,3.59,3.71,1.82,2.02,1471.29,1529.35,-58.06,0.0,2.0,0,0,2,1.5,0.5,2,0,0,0,0,0,0.0,0.0
2023-09-01,Roma,Milan,1,2,A,2.81,3.15,2.7,2.31,1.63,1485.65,1529.35,-43.71,1.5,2.0,0,1,1,3.0,0.5,2,0,0,0,0,0,0.0,0.0
2023-09-02,Napoli,Lazio,1,2,A,1.63,4.04,5.49,1.84,1.99,1528.71,1470.0,58.71,2.5,0.5,2,0,0,0.5,1.5,0,0,2,0,0,0,0.0,0.0
2023-09-02,Bologna,Cagliari,2,1,H,1.72,3.72,5.17,1.95,1.88,1486.29,1485.65,0.64,0.5,1.5,0,1,1,0.0,1.0,0,1,1,0,0,0,0.0,0.0
2023-09-02,Udinese,Frosinone,0,0,D,1.8,3.7,4.56,1.95,1.88,1485.65,1501.29,-15.64,0.5,2.0,0,1,1,1.5,2.0,1,0,1,0,0,0,0.0,0.0
2023-09-02,Atalanta,Monza,3,0,H,1.63,4.17,5.2,1.72,2.14,1498.71,1500.0,-1.29,1.5,1.0,1,0,1,1.0,1.0,1,0,1,0,0,0,0.0,0.0
2023-09-03,Empoli,Juventus,0,2,A,5.18,3.9,1.67,1.91,1.92,1470.0,1513.71,-43.71,0.0,1.5,0,0,2,2.0,0.5,1,1,0,0,0,0,0.0,0.0
2023-09-03,Torino,Genoa,1,0,H,2.05,3.26,3.96,2.39,1.59,1485.65,1500.0,-14.35,0.5,2.0,0,1,1,1.0,2.0,1,0,1,0,0,0,0.0,0.0
2023-09-03,Inter,Fiorentina,4,0,H,1.65,4.04,5.11,1.78,2.06,1529.35,1515.0,14.35,2.0,0.0,2,0,0,3.0,1.5,1,1,0,0,0,0,0.0,0.0
2023-09-03,Lecce,Salernitana,2,0,H,2.02,3.38,3.9,2.18,1.7,1515.0,1499.35,15.65,2.0,1.5,1,1,0,1.5,1.5,0,2,0,0,0,0,0.0,0.0
2023-09-16,Juventus,Lazio,3,1,H,1.93,3.44,4.24,2.12,1.74,1526.83,1487.51,39.32,2.0,0.33,2,1,0,1.0,1.33,1,0,2,0,0,0,0.0,0.0
2023-09-16,Inter,Milan,5,1,H,2.15,3.52,3.41,1.89,1.94,1543.73,1542.48,1.26,2.67,0.0,3,0,0,2.67,0.67,3,0,0,0,0,0,0.0,0.0
2023-09-16,Genoa,Napoli,2,2,D,5.21,4.03,1.65,1.79,2.04,1484.38,1511.2,-26.82,0.67,1.67,1,0,2,2.0,1.0,2,0,1,0,0,0,0.0,0.0
2023-09-17,Cagliari,Udinese,0,0,D,2.88,3.26,2.55,2.1,1.75,1470.68,1486.32,-15.65,0.33,1.33,0,1,2,0.33,1.33,0,2,1,0,0,0,0.0,0.0
2023-09-17,Frosinone,Sassuolo,4,2,H,2.77,3.49,2.51,1.83,2.0,1500.62,1488.78,11.84,1.0,1.33,1,1,1,1.0,1.67,1,0,2,0,0,0,0.0,0.0
2023-09-17,Monza,Lecce,1,1,D,2.12,3.4,3.57,2.11,1.75,1484.94,1529.32,-44.38,0.67,1.67,1,0,2,2.0,1.0,2,1,0,0,0,0,0.0,0.0
2023-09-17,Fiorentina,Atalanta,3,2,H,2.46,3.52,2.81,1.79,2.05,1500.62,1513.76,-13.14,2.0,2.33,1,1,1,2.0,0.67,2,0,1,0,0,0,0.0,0.0
2023-09-17,Roma,Empoli,7,0,H,1.43,4.5,7.99,1.91,1.91,1472.52,1456.88,15.65,1.33,2.0,0,1,2,0.0,1.67,0,0,3,0,0,0,0.0,0.0
2023-09-18,Salernitana,Torino,0,3,A,3.51,3.23,2.21,2.24,1.66,1485.03,1501.27,-16.24,1.0,1.67,0,2,1,0.67,1.33,1,1,1,0,0,0,0.0,0.0
2023-09-18,Verona,Bologna,0,0,D,2.98,3.31,2.44,2.1,1.75,1511.87,1501.26,10.61,1.33,1.33,2,0,1,1.0,1.33,1,1,1,0,0,0,0.0,0.0
2023-09-22,Lecce,Genoa,1,0,H,2.46,3.11,3.17,2.37,1.6,1527.42,1485.54,41.88,1.75,1.0,2,2,0,1.0,1.75,1,1,2,0,0,0,0.0,0.0
2023-09-22,Salernitana,Frosinone,1,1,D,2.52,3.26,2.95,2.11,1.75,1470.73,1515.11,-44.38,0.75,2.0,0,2,2,1.75,1.5,2,1,1,0,0,0,0.0,0.0
2023-09-23,Milan,Verona,1,0,H,1.38,4.87,8.61,1.77,2.08,1527.53,1511.41,16.12,2.25,1.75,3,0,1,1.0,1.0,2,1,1,0,0,0,0.0,0.0
2023-09-23,Sassuolo,Juventus,4,2,H,4.23,3.93,1.8,1.73,2.13,1474.29,1540.14,-65.85,1.25,2.25,1,0,3,2.25,0.5,3,1,0,0,0,0,0.0,0.0
2023-09-23,Lazio,Monza,1,1,D,1.8,3.82,4.42,1.85,1.96,1474.2,1486.85,-12.65,1.0,1.75,1,0,3,0.75,1.5,1,1,2,0,0,0,0.0,0.0
2023-09-24,Empoli,Inter,0,1,A,8.92,5.42,1.33,1.55,2.47,1442.55,1558.68,-116.13,0.0,3.0,0,0,4,3.25,0.25,4,0,0,0,0,0,0.0,0.0
2023-09-24,Atalanta,Cagliari,2,0,H,1.39,4.94,7.85,1.68,2.22,1498.2,1471.35,26.85,2.0,1.25,2,0,2,0.25,1.0,0,2,2,0,0,0,0.0,0.0
2023-09-24,Udinese,Fiorentina,0,2,A,3.1,3.45,2.3,1.92,1.91,1485.65,1516.19,-30.54,0.25,1.0,0,3,1,2.25,2.25,2,1,1,0,0,0,0.0,0.0
2023-09-24,Bologna,Napoli,0,0,D,3.72,3.64,1.99,1.83,2.01,1501.72,1510.04,-8.32,0.75,1.0,1,2,1,2.0,1.25,2,1,1,0,0,0,0.0,0.0
2023-09-24,Torino,Roma,1,1,D,3.07,3.05,2.55,2.62,1.51,1515.57,1486.85,28.72,1.25,1.0,2,1,1,2.75,1.5,1,1,2,0,0,0,0.0,0.0
2023-09-26,Juventus,Lecce,1,0,H,1.5,4.27,7.05,1.91,1.92,1522.33,1540.62,-18.29,2.2,1.2,3,1,1,1.6,0.8,3,2,0,0,0,0,0.0,0.0
2023-09-27,Lazio,Torino,2,0,H,2.15,3.32,3.61,2.21,1.69,1474.75,1514.33,-39.58,1.0,1.6,1,1,3,1.2,1.0,2,2,1,0,0,0,0.0,0.0
