Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
05/08/2022,19:00,Heerenveen,Sparta Rotterdam,0,0,D,1.93,3.5,3.96,1.98,1.82,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
06/08/2022,15:30,For Sittard,Ajax,2,3,A,11.93,6.87,1.21,1.35,3.11,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
06/08/2022,17:45,Cambuur,Excelsior,0,2,A,1.9,3.82,3.71,1.58,2.34,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
06/08/2022,19:00,PSV Eindhoven,FC Emmen,4,1,H,1.21,6.73,12.84,1.47,2.64,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
06/08/2022,20:00,Waalwijk,Utrecht,2,2,D,3.67,3.65,1.96,1.78,2.03,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
07/08/2022,11:15,Groningen,Volendam,2,2,D,1.72,3.9,4.59,1.76,2.05,1500.0,1500.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
07/08/2022,13:30,Vitesse,Feyenoord,2,5,A,3.75,3.9,1.87,1.64,2.25,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
07/08/2022,13:30,Nijmegen,Twente,0,1,A,3.23,3.48,2.17,1.82,1.98,1485.0,1515.0,-30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
07/08/2022,15:45,AZ Alkmaar,Go Ahead Eagles,2,0,H,1.39,4.85,7.65,1.64,2.23,1515.0,1485.0,30.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
12/08/2022,19:00,Excelsior,Vitesse,3,1,H,3.5,3.88,1.96,1.59,2.35,1528.7080052393337,1471.2919947606663,57.41601047866743,2.0,0.0,1,0,0,2.0,5.0,0,0,1,0,0,0,0.0,0.0
13/08/2022,17:45,Go Ahead Eagles,PSV Eindhoven,2,5,A,7.89,5.12,1.36,1.56,2.39,1471.2919947606663,1528.7080052393337,-57.41601047866743,0.0,2.0,0,0,1,4.0,1.0,1,0,0,0,0,0,0.0,0.0
13/08/2022,19:00,FC Emmen,Waalwijk,1,1,D,1.91,3.65,3.86,1.85,1.95,1485.6471999915343,1499.3528000084657,-13.705600016931385,1.0,4.0,0,0,1,2.0,2.0,0,1,0,0,0,0,0.0,0.0
